mag_x,mag_y,mag_z,azimuth,elevation
-0.1591350920756048,9.685375836256624,43.80783282166777,0.0,6.852721291259165
-0.1607465092570288,9.68399462152969,43.807602619213284,0.014945755775627845,6.853331349457804
-0.1708984375,9.67529296875,43.80615234375,0.03533580004747705,6.882311875444742
-0.14922238486571757,9.700391556010748,43.811856568127446,0.02635634071111781,6.879822655781232
-0.1328698986010467,9.72389612967436,43.822074121600465,-0.03846220442079584,6.8704576975556515
-0.18699776467612297,9.71641054013548,43.833611994209356,0.03018454665630088,6.889693985418096
-0.18990340175305906,9.719077474002225,43.82682389325111,-0.014063576009277767,6.853303077550358
-0.18868039432768152,9.718188014056496,43.82637916327825,0.009375990464050687,6.865154703850059
-0.17477015591291378,9.708071477027573,43.82132089476379,-0.02979110042640798,6.856363149982237
-0.1539710495418027,9.695111992025724,43.82080078125,0.028792101904386413,6.842569886448441
-0.16057025683521542,9.689224426757747,43.807005367188026,-0.019701513350156574,6.849935221947252
-0.16124380412787284,9.693548019811063,43.80307283803053,0.005604819852464971,6.8488748543907425
-0.15566169854896386,9.701503275863057,43.81199013874244,0.018915930092092026,6.890032073534115
-0.15836143808454062,9.702223206405877,43.8143299130066,0.007515614771136825,6.846895621352219
-0.1863209053087662,9.711020716867532,43.83169838252987,0.000307503494610728,6.844699043987392
-0.18703363412742263,9.71268483628549,43.8172853969871,0.005476354289598362,6.8364315628045675
-0.18091476113566815,9.701976808549919,43.81040166487138,0.004804593170405269,6.834652725979093
-0.1739628547634733,9.689810972398579,43.80258077020266,0.03810740015008207,6.868449536363668
-0.16514095204260518,9.676859702042606,43.7980447583537,-0.00026319001089802896,6.8733760665973005
-0.16452587952879302,9.676244629528792,43.7983522946106,0.031149899843470052,6.859646746278771
-0.15608497802626836,9.681704678552837,43.80908881592119,0.03390258791178269,6.8492247407746545
-0.15052078317604006,9.70045562885208,43.82154937885208,0.015495096926784413,6.860854105356367
-0.1486984814721752,9.690215715754602,43.80975762818054,0.03282507041610927,6.8525019256959725
-0.14131785054781254,9.684224888562396,43.82577816440073,0.0075437044610282555,6.8931206711090915
-0.14113121258710884,9.68528250367305,43.8258403770543,0.02984028424624796,6.848859708133949
-0.13655343679387247,9.711223233168056,43.82736630231871,-0.007051904232938,6.884169824206216
-0.13635901066193226,9.71232498124905,43.827431111029355,0.0002420646938929849,6.830450629017388
-0.1388053112973584,9.71431049739739,43.83038898377368,-0.007826919786808162,6.854151244376222
