mag_x,mag_y,mag_z,azimuth,elevation,twist
-4.4425522716212456,6.8904555408787544,39.009051398255004,0.0,-3.998306434611014,0.0
-4.445012687708565,6.887995124791435,39.005770843471915,0.021072059141232558,-3.9822277961496924,-0.050323775392655534
-4.468502959018678,6.8515683007126436,38.99385531087811,-0.04274717681661855,-3.9844190910424055,0.0446945352167063
-4.443538262638397,6.8891854252678515,39.008504937906245,-0.021390837272207364,-4.047353580061069,0.054047944444789664
-4.442057656123655,6.891463281444377,39.00930218756803,-0.033682506818962565,-4.0407794326592175,0.11618337136849277
-4.467655351555893,6.886760080080437,39.012689408202796,-0.011216518423992738,-4.0549451769712705,0.061448566447040776
-4.488485395970876,6.8798828125,39.01012974958737,0.027882103986854645,-3.948402959491814,-0.13120794029131844
-4.477967542899427,6.879370701593453,39.00685976715655,0.01175760044017693,-3.9748923997921795,-0.05729980315064154
-4.4764133883172015,6.879303129655096,39.00692733909491,-0.02655334032138512,-4.0004934320313845,-0.10088591587586393
-4.437073304845694,6.880341035288079,39.007629210884765,0.012246096622305913,-4.105240030650329,-0.254159989204652
-4.437864275204318,6.881000177253599,39.00736555409856,0.017337510787257315,-4.104160535554422,-0.08416784733583427
-4.463531566088676,6.874359058911324,38.99139675842745,0.0207075585650216,-3.941269427956789,-0.16848814253623345
-4.46403164173368,6.8849249977826394,38.98931093676088,-0.03344099740232309,-4.035061870102625,0.06809358038927371
-4.4765024007330085,6.880049957262743,38.98768592325425,0.018016183575781497,-4.036275374138236,0.025414709236486033
-4.483567710592065,6.866747160322944,38.9866216847847,-0.024153238047773584,-4.029504220636227,0.05102569919156963
-4.482129745745152,6.865962815860993,38.98714458109267,-0.036190543252104135,-4.057206808115346,0.09741262672733342
-4.466263475591245,6.857308486686134,38.992914133875914,-0.03626092814639037,-4.051836717994499,0.15559519735168692
-4.452579000918845,6.864491421071011,38.98511795392899,-0.044082698712060164,-4.036190699301006,0.10690396631471799
-4.459712937662935,6.87352056802429,38.98089867834716,0.008649628152994637,-3.953985496537885,-0.1350848955682693
-4.477516737518809,6.872739525005787,38.99585830622685,-0.011694256583467677,-4.023345127997158,0.09430684425640834
-4.476162049182329,6.872322697825332,38.99752561494867,-0.02681618869272029,-4.042758381690756,0.1091361114006304
-4.458978172046366,6.867035351014266,39.018675002192936,0.03670540611412321,-3.974417346040458,-0.14647539544799315
-4.4297050446855994,6.902133213772809,39.005894464371195,-0.022358564082281873,-4.023576757263172,0.13237447042837402
-4.4298496004284935,6.900398544858076,39.00618357585699,-0.004167548992228376,-4.016720068319899,-0.05351363160070832
-4.476748643803695,6.869326768803695,39.008859212661086,-0.0227142026406284,-4.024116933475639,0.0537603683235659
-4.477312253681609,6.869890378681609,39.010550042294824,-0.04815555784190906,-3.9680079231107697,-0.009048910353016026
-4.477054336765591,6.870878899368357,39.01026101728118,-0.0341672547392875,-4.02271470911073,0.054305467805193075
-4.475313137698925,6.87361506933026,39.00677861914785,-0.024609256094095144,-3.999881123982589,-0.017259820436720474
-4.4627574365328995,6.8933454568768715,38.9816672168158,-0.03344940326897472,-4.039293615492925,0.07342142837731558
-4.46610183371844,6.882452519161407,39.004162850822816,-0.01574636016945874,-4.0434968799273845,0.16004176326012498
-4.474586567994815,6.883866641540803,39.006991095581604,0.007664378794828508,-4.048238408940184,-0.0006200221426126973
-4.475489514061091,6.884017132551849,39.007292077603694,0.038407556882788185,-3.9797172725940393,-0.15515606374819413
-4.473897417596121,6.8854415195726535,39.00405780049143,-0.0015881911995450082,-4.00029285984465,-0.009262774209332747
-4.458116736092064,6.887070876759919,38.99165837240297,0.017433668255279144,-4.023996167657306,-0.07351968674643672
-4.476664339219522,6.875913817957167,38.98874861640239,0.018826076043040985,-3.98558184382255,-0.0862038081099854
-4.463581031394268,6.894984591401641,38.99746792546967,0.05239916991715177,-4.004052107694945,-0.14549433193772643
-4.461477627476596,6.894175589894845,38.997629725771034,-0.001034942355460089,-4.038550922829435,0.01843973250424824
-4.479936876834141,6.9091535323504845,38.995365687316585,0.0022374857071838505,-3.9821611897135085,-0.08283902515375985
-4.485124746424531,6.912266254104718,38.994846900357544,0.0023385924991714546,-4.047827081468421,-0.00980018823409523
-4.485158521933303,6.909474928183303,38.998533736291684,0.030790986258267594,-3.9828725993985428,-0.10366918858483132
-4.472798614651786,6.897115020901786,39.00625867834263,0.028586209562632803,-3.9422333967567025,-0.15186716778978848
-4.4577672694119626,6.904982528894491,39.00875308713038,0.006206984865656295,-4.030585204663427,-0.015090666621802029
-4.457605332024306,6.907087714934026,39.010372461006945,0.020154618630641608,-3.9780780156000133,-0.11606948022992469
-4.4560765234884245,6.926962225900476,39.02566054636575,0.022298296704576615,-3.965093076303102,-0.08432506679235985
-4.459692442301835,6.900585461585321,39.0183836105945,-0.027427694371539246,-3.9994526204433054,0.0475929710914329
-4.468753741846339,6.897299424365446,39.01334510688455,-0.024761937120416633,-4.162761010501947,-0.045079269489065155
-4.477037425992328,6.897474292757672,39.00929069900767,-0.01910715371371907,-4.184709320215011,0.0025268848038990654
-4.482547935602902,6.891963783147098,39.0037801893971,-0.04258591484725116,-4.0264087667877915,-0.017524210652965166
-4.4670553768382355,6.906408818122838,39.00041731996107,0.013952031785237295,-3.9798002605041,-0.06686312636375646
-4.463404514196492,6.9098449241385955,39.00020256333509,0.05337010807792808,-3.9725333448885776,-0.13542234196881964
-4.457034323830531,6.923672798457172,39.00334184239385,-0.026367796685491385,-4.006313657766888,0.01777291250647295
-4.480656104095925,6.9085910971986415,39.00977616514825,-0.005740029924055534,-4.01557232202107,0.01871261372886579
-4.445925131313667,6.8970141062712225,38.994891462527285,0.04163802889488011,-3.9830969241445806,-0.06516252295941172
-4.445281094731802,6.871849475893992,39.01664917026661,-0.02604750376556808,-3.9930292986784375,0.053566436343118085
-4.465745268784643,6.866248459357679,39.010554412511546,0.023992231278015197,-3.9749500282752117,-0.11767547347466234
-4.464863744473719,6.86668922151314,39.010260571074575,0.009861768604338295,-3.975853865713678,-0.0860743479003645
-4.4397674316239515,6.879237377938024,39.00307843015494,-0.03707171095166473,-4.069457566980962,0.1262420517489602
-4.440303935209337,6.878969126145331,39.00374905963667,0.019814106835013945,-3.9881220578257865,-0.10823272019305819
-4.4476760428325495,6.875283072333725,39.01296419416569,0.040398470785504514,-3.973012908569649,-0.11390128105921349
-4.464926509533898,6.8861228813559325,39.013671875,-0.04489875931244569,-4.010865389141362,0.1043295082005784
-4.466613662514611,6.887247650009741,39.013671875,0.030517614919517655,-3.9759745748020765,-0.19453359076172205
-4.474253827239386,6.895626328420205,39.02133742394143,0.02399830393133584,-3.9816547574325574,-0.10516946701091001
-4.425452686295421,6.85007896748806,39.00305181175431,0.029204821256143987,-4.000407323400042,-0.056074211788171624
-4.421411283019689,6.845845116437294,39.000549990678856,-0.03923483223812241,-4.057823203719427,0.19151465600162965
-4.453726502956466,6.873478545396767,39.001769134670646,0.013550412376247323,-3.960062026409493,-0.12117005857925278
-4.457056612633067,6.871813490558466,39.002102145638304,0.038265362426585625,-3.9635350527118494,-0.1605090412328991
-4.4471878493664825,6.887500249547487,39.018261469202514,-0.0038411754328535608,-3.9684994976174415,-0.1211516889256643
-4.449012318773069,6.888803441980763,39.01695827676924,-0.009455790901057526,-4.007268417088932,0.06947642902480311
-4.45874531746743,6.89526875496743,39.01219686506514,0.02186057190507995,-3.960458068844693,-0.17146150284571604
-4.4583499320144,6.8948733695144,39.0129876359712,0.01703587285439312,-3.966658744194626,-0.17843731100029459
-4.453647614952157,6.890171052452157,39.022392270095686,-0.0133596540628389,-4.013330125764509,0.09738640192946946
